ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,zfin_id_symbol,hgnc_symbol,description,entrezgene
ENSDARG00000009612,234.84734888486324,-1.3662710132827107,0.19466050921966954,-7.018737486918355,2.2388196479385425e-12,1.8298619255817686e-8,chia.3,,"chitinase, acidic.3 [Source:ZFIN;Acc:ZDB-GENE-040426-2891]",406819
ENSDARG00000012506,187.49391678196454,-1.0848806050517896,0.14037227062128663,-7.72859625515863,1.0873894838365223e-14,1.3331395071835763e-10,rnpep,,arginyl aminopeptidase (aminopeptidase B) [Source:ZFIN;Acc:ZDB-GENE-040718-241],437014
ENSDARG00000018411,383.76004763726706,0.8094125363844706,0.1541324131653595,5.2514102631748205,1.5093906468454653e-7,5.287179808664401e-4,mknk1,,MAP kinase interacting serine/threonine kinase 1 [Source:ZFIN;Acc:ZDB-GENE-080220-11],555974
ENSDARG00000044862,34.83431990910369,-2.996913854779099,0.3304442144862287,-9.069348844368998,1.197303815389302e-19,2.9357889553345686e-15,opn1lw1,,"opsin 1 (cone pigments), long-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-41]",30413
ENSDARG00000044925,356.7911944304426,0.6740683585910948,0.1488326018014495,4.529036988080994,5.9253126710341335e-6,0.013208060608523359,cdk5rap1,,CDK5 regulatory subunit associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-070424-90],558659
ENSDARG00000054805,74.33801284259204,-2.2966161840715884,0.4486065812713708,-5.119443806559585,3.064380580458236e-7,9.392326479104494e-4,btr09,,"bloodthirsty-related gene family, member 9 [Source:ZFIN;Acc:ZDB-GENE-080722-46]",100170790
ENSDARG00000056838,14.359702228150674,-4.037681104346742,0.8877100155710798,-4.548423509392569,5.4049281369746394e-6,0.013208060608523359,pimr93,,"Pim proto-oncogene, serine/threonine kinase, related 93 [Source:ZFIN;Acc:ZDB-GENE-141216-82]",NA
ENSDARG00000058448,270.9537483428598,-0.7339695722152854,0.16716070342575634,-4.3908021273748385,1.129332770391163e-5,0.019779456807136653,zrsr2,,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1495]",100005490
ENSDARG00000076120,1019.6626152120932,-0.8688389684546831,0.19727956804964442,-4.40410011560875,1.062238825330145e-5,0.019779456807136653,foxp4,,forkhead box P4 [Source:ZFIN;Acc:ZDB-GENE-101207-1],557245
ENSDARG00000086998,188.00000250453323,2.147635979979637,0.30902570104236426,6.949700211780179,3.66063268762039e-12,2.2439678375112992e-8,zgc:64002,NNMT,zgc:64002 [Source:ZFIN;Acc:ZDB-GENE-040426-1329],393330
ENSDARG00000089963,1292.2660199035884,-0.6316838938316737,0.14084494004352516,-4.484959797891675,7.292768334814846e-6,0.014901556630805002,hbbe1.1,,hemoglobin beta embryonic-1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-7],NA
ENSDARG00000098213,58.329070420319326,-2.1103578877545948,0.3235501666874528,-6.522505951273967,6.914231867652754e-11,2.825616089914092e-7,,,,NA
ENSDARG00000100798,76.77020219576643,2.648441937500587,0.4013252566966466,6.599240624176537,4.1326909059607844e-11,2.0266716202831687e-7,,,,NA
ENSDARG00000102175,154.52687193812264,-1.3045661671337387,0.269849446759798,-4.834422240987497,1.335328871358313e-6,0.0036380293250784256,hamp,,hepcidin antimicrobial peptide [Source:ZFIN;Acc:ZDB-GENE-050726-1],402837
